news ID,url,title,time,content
apl2017050706510,http://www.appledaily.com.tw/realtimenews/article/entertainment/20170507/1113032/【獨家長照片】68歲萬沙浪半癱生癬　女友賣房送安養院,【獨家長照片】68歲萬沙浪半癱生癬　女友賣房送安養院,2017/05/07 06:51,（新增內容）68歲資深歌手「山地歌王」萬沙浪，唱紅《風從哪裡來》、《愛你一萬年》，前年2度中風半癱，去年插鼻管，今年又因免疫力下降失調，身體每況愈下，除吞嚥困難，也有乾癬、皮膚潰爛等問題，月開銷至少要5、6萬元，因家中外傭被撤換，他農曆春節後被送進安養院照護，他的女友郭淑芳與乾兒子常陪伴他，女友更為他變賣房產首飾，住在美國的小女兒也帶著混血外孫女回台照顧爸爸，晚年終享天倫。 萬沙浪乾兒子昨受訪表示，因萬沙浪原本的外傭照護不佳，臨時撤換外傭後，找不到人替換，透過朋友介紹，找到住家附近的安養中心，每月要價3萬5000元，由專業的護理人員照料。但若找到新的外傭，將把萬沙浪接回。 乾兒子表示，萬沙浪有皮膚生癬宿疾，平時在家洗澡時需乾媽（指郭淑芳）及外傭幫忙，如廁需由人攙扶，半夜因家人入睡，需包尿布就寢；也因2度中風，食物有時需打成泥，方便吞嚥，飲水也要特別注意，免得噎到。之前萬沙浪曾因身體不適送急診，但今年為止還未送過急診，不過需特別注意他的脈搏、血壓，以防突發狀況。 萬沙浪原本住在乾兒子家，雖有政府補助1萬元，但每月開銷5、6萬元，包括安養中心、尿布等生活用品及營養補給品及部分生活費，這部分是靠郭淑芳變賣房產及珍藏多年的珠寶首飾。 而台灣優質協會祕書長紀寶如長期關懷萬沙浪，她表示：「萬沙浪小女兒在美國看到爸爸重病消息後，已經趕回台灣照顧爸爸，連2個混血小女兒也都帶回台，只有夫婿仍在美國工作，小女兒也會幫忙付錢。萬沙浪雖無法言語，在女友、乾兒子與女兒輪流照顧下，希望未來會更加好轉。」 萬沙浪曾仰藥自殺，在2004年被邱姓前妻指出20年荒唐不顧家，之前1子3女都旅居美國，邱姓前妻也曾表示，兒女們還是會關心萬沙浪，但目前由小女兒回台照顧爸爸，讓萬沙浪得享家人關懷。（葉文正、林丞偉／台北報導）68歲山地歌王靠身障補助度日姓名：萬沙浪（本名：王忠義）年齡：68歲（1949╱01╱21）身材：176公分╱80公斤族別：卑南族，藝名「萬沙浪」為卑南族語「成年勇士」之意感情：有過一段婚姻，前妻離婚後帶1子3女赴美定居，幾乎沒聯絡。1977年在聚會上認識歌迷郭淑芳，主動追求，相守39年，但沒結婚經典歌：《風從哪裡來》、《娜魯灣情歌》、《愛你一萬年》等病況：1997年酒後摔傷導致腦部創傷，喪失語言能力、智力退化2015年1個月內2度中風，每月靠4700元身障補助度日，暫住乾兒子家2017年免疫失調，已回台的小女兒目前將他送往安養院照顧 《蘋果》關心你自殺解決不了問題，卻留給家人無比。請珍惜生命。再給自己一次機會      自殺防治諮詢安心專線：0800-788995（24小時）生命線協談專線：1995張老師專線：1980出版時間：00:03更新時間：06:51
apl2017050706430,http://www.appledaily.com.tw/realtimenews/article/entertainment/20170507/1113233/蕭淑慎獲小15歲情郎滋潤　墾丁拋胸乳溝辣死人！,蕭淑慎獲小15歲情郎滋潤　墾丁拋胸乳溝辣死人！,2017/05/07 06:43,（新增內容）40歲的蕭淑慎熱戀小15歲的單親爸梁軒安，2月答應他求婚，最近則和男友一起去墾丁度假，在臉書大秀穿bra辣照，和小情郎站在一塊，一點都不顯年齡差距，男友不信邪，偏要和她比誰能先招攬到順風車，看她那個胸跟那個腿，這還要比嗎？難怪她要虧他「笨」，最後她得意笑說：「我贏啦！有人南下來載我啦！笨軒安沒有人載他！」他們這趟也駐足高雄，昨晚近10點，梁軒安稱因玩水上活動弄到全身痠痛，早早就要休息，以恩愛照為這一天畫下完美句點。（曾宛如／綜合報導）出版時間：00:05更新時間：06:43 
apl2017050706320,http://www.appledaily.com.tw/realtimenews/article/nextmag/20170507/1111503/【壹週刊】日韓嗆聲！最強辣模Rola戰Kystal誰勝出？,【壹週刊】日韓嗆聲！最強辣模Rola戰Kystal誰勝出？,2017/05/07 06:32,雖然韓國、日本彩妝風格截然不同——日本妹愛戴假睫毛，韓妹講求好膚質。俗話說青菜蘿蔔各有所好，這次《壹週刊》特別請來日本辣模Rola代言的Visee AVANT彩妝師佐藤洋樹，以及韓國少女天團f(X）成員Krystal代言的ETUDE HOUSE彩妝師相互PK。沒想到兩位型男彩妝師都把2017彩妝重點放到了眼睛，而且還強調＿＿色～到底韓國、日本的彩妝重點是什麼？妳愛哪一款～請看片。（撰文：沈子晴 　剪輯：曾貴停）
apl2017050706290,http://www.appledaily.com.tw/realtimenews/article/property/20170507/1112668/這區1年中古屋移轉數只7棟　房仲說：相當恐怖,這區1年中古屋移轉數只7棟　房仲說：相當恐怖,2017/05/07 06:29,老天鵝啊！房市到底好不好，數據會說話。新北市五股區近1年建物買賣移轉棟數，若扣除建物第一次登記的移轉量，竟然只剩7棟！等於該區房仲們1個月都賣不到1棟中古屋，房仲直言：真的是史上最艱苦，相當恐怖。根據新北市地政局統計數據，去年5月至今年4月整整1年，五股區建物買賣移轉棟數為1180棟，但若扣除同期建物第一次登記的1173棟，即扣掉第一手交易的新屋買賣，竟然只剩7棟，遠比冷門區的八里、深坑、金山、萬里、三芝區等尚有136~400棟不等的交易量低，連瑞芳區都有90棟，僅與雙溪區的5棟相當，十分慘淡。住商不動產台北五股加盟店店長黃威鳴直呼：「從業10多年來，去年第1次感受到這麼恐怖的氛圍！」他表示去年一整年的買賣確實很少，尤其是第1季應是史上最低、最艱苦的1季。黃威鳴解釋，除因整體景氣、政治環境不佳，去年在房市買氣差的情況下，洲子洋重劃區建案陸續完工，不少建商便以讓利、調降價格的方式來拚成交，但中古市場的屋主敏銳度較低，降價意願也不高，導致新建案單價30萬元上下，中古屋卻仍要賣每坪28、29萬元，買方當然往新成屋靠攏。（張琬聆／台北報導）更多房市新訊請上蘋果地產王粉絲團 
apl2017050706280,http://www.appledaily.com.tw/realtimenews/article/nextmag/20170507/1112475/【壹週刊】負債百萬　老婦賣傘圖還債,【壹週刊】負債百萬　老婦賣傘圖還債 ,2017/05/07 06:28,淡水捷運站附近有個賣雨傘的阿姨，不管天氣好壞，全年無休擺攤。65歲的雨傘阿姨因為做生意失敗負債上百萬，丈夫不良於行，兒子多年前因病過世，僅剩女兒賺錢養家、還債，「我女兒很乖，現在債務都她擔起來，快要40歲還不敢結婚。」天氣好不會有客人上門，雨天時地板濕滑，常常跌倒，還要躲警察、捷運站站長。雨傘阿姨說：「日子困苦還是要過啊！」只希望可以多賺一些錢，想辦法還債，減輕女兒負擔。（撰文：謝君怡  攝影：蘇立坤） 
apl2017050706211,http://www.appledaily.com.tw/realtimenews/article/finance/20170507/1112937/【兩岸富豪系列片】窮軍人變中國首富　「想成功先定1個億的小目標」,【兩岸富豪系列片】 窮軍人變中國首富　「想成功先定1個億的小目標」,2017/05/07 06:21,中國萬達集團董事長王健林靠著投資房地產建立企業帝國，後來把事業觸角伸向電影等領域，2013年擠下「飲料王」宗慶後成為中國首富。根據《富比士》（Forbes）雜誌的數據，目前王健林的財富達到307億美元（約9253億元台幣）。身為中國最有錢的企業家，王健林自然成為許多年輕人亟欲效法的對象。王健林去年接受中國媒體訪問時分享他的致富秘笈，表示年輕人應先設下「小目標」，例如先賺1億元人民幣（約4.4億元台幣）。他說：「想做世界最大，想做首富，有這個想法，是對的，是奮鬥的方向。但是最好先定一個能達到的『小目標』，比如說先賺1個億，看看能用幾年可以達到目標，是規劃5年還是3年。」王健林1億元人民幣的小目標在網路上爆紅，中國網友紛紛留言表示「對他來說是美金，對我們來說是越南盾」、「他賺1個億就和普通人賺1000是一樣的」、「人家是小目標，咱們是癡夢想」。王健林的狂發言不只這一例。王健林去年5月在南昌萬達主題樂園開幕時對迪士尼嗆聲，宣稱只要有萬達在，未來20年上海迪士尼都別想賺錢。他說：「迪士尼實在不應該來（中國）」，因為好虎架不住群狼。」王健林於1954年10月24日出生於四川農村，他是家中長子，有4個弟弟和妹妹。由於生活貧困，王健林13歲就出社會，15歲自願從軍，後來因政府裁軍而退伍。王健林曾表示，除了政府裁軍，中國當時提出的「追求萬元戶」口號，也鼓勵他退伍從商。王健林退伍後進入大連市西崗區人民政府擔任辦公室主任，隨後接下政府旗下的西崗區房屋開發公司，這就是萬達的前身。王健林後來靠承包大連市政府北門老舊社區改建工程賺到第一桶金，當時他在每戶設立洗手間，這在當年是很大的創新（當時只有局級以上幹部的住宅才能有洗手間）。王健林說：「800多套房子，一個月就賣完了，一下子掙了一千多萬！」「親近政府遠離政治」是王健林的名言，他認為不與政府交涉是不可能的事。王健林說：「與政府親近，但不參與政治和派系鬥爭；曾有人說，我不跟政府打交道，不理政府，可能嗎？在美國也做不到。」2000年王健林決定從住宅房地產跨足商用房地產領域。王健林表示，做出這個決定是因為當時萬達有2名創業元老生重病，醫療費高達300多萬元人民幣。他當時想：公司發展後，生病的人多了怎麼辦？為尋找安全並能創造長期現金流的商業模式。王健林決定跨足商用不動產。歷經10多年的發展，目前萬達集團已是全球最大商用不動產公司。另外，萬達還進軍電影業，在中國成立數百家萬達院線，在海外擁有的電影院則超過1000家。數據顯示，萬達去年營收高達2549.8億元人民幣，其中服務業貢獻的營收首次超越房地產。王健林表示，萬達基本上已轉型成功。和其他富豪企業家一樣，王健林的生活很忙碌。根據中國《南方日報》去年揭露的行程，王健林去年11月30日當天凌晨4時起床，結束健身和吃早餐後於7時從印尼雅加達飛往中國海南海口，他在海口與官員見面並簽約後於下午3時飛往北京，晚上抵達辦公室。王健林當天總計飛了2個國家、3個城市，並簽訂價值500億元人民幣的合約。這份行程表中最令人感到驚訝的是，儘管生活忙碌，王健林仍安排時間運動，與許多宣稱因工作忙碌而無暇運動的上班族形成對比。中國觀察者網指出，健身這件事王健林已經堅持2年，他每天一定要撥出1小時健身，風雨無阻，即使出國也這麼做。萬達是中國少數民營大型企業，外界認為萬達能有今天的成就，是因為王健林處理與中國政府的關係有獨到之處。「親近政府遠離政治」是王健林的名言，他說：「與政府親近，但不參與政治和派系鬥爭；曾有人說，我不跟政府打交道，不理政府，可能嗎？在美國也做不到。（林文彬／綜合外電報導）
apl2017050706212,http://www.appledaily.com.tw/realtimenews/article/local/20170507/1113271/【有片】貨車國道肇事逃逸　2施工人員遭輾死亡,【有片】貨車國道肇事逃逸　2施工人員遭輾死亡,2017/05/07 06:21,(新增：現場照片、內容)今日凌晨4時許，國道中山高速公路平面路段，南下36.8公里處發生一起肇事逃逸的嚴重車禍。2名施工人員在已封閉的外側車道鋪設貓眼石，遭到一輛闖入的大型貨車撞擊，2人當場被撞飛，頭部嚴重變形，當場失去生命跡象。警方已在現場進行採證，將調閱鄰近監視器找出肇事駕駛。死者同事表示，事發前曾看到一輛白色大型貨車闖入，於是上前驅趕，但對方下車查看後便上車駛離。在上前查看後驚見2名同事頭顱破裂，腦部流出大量鮮血躺臥車道，嚇得立即報警求救。警消獲報抵達發現2人已明顯死亡，由到場的鑑識人員接手調查採證，並將調閱鄰近監視器找出肇事駕駛。 (突發中心游宗樺/新北報導)發稿時間0417更新時間0621 
apl2017050706180,http://www.appledaily.com.tw/realtimenews/article/nextmag/20170507/1112628/【壹週刊】宋紀妍美到逆天！可惜女兒是條漢子...,【壹週刊】宋紀妍美到逆天！可惜女兒是條漢子...,2017/05/07 06:18,下個禮拜就是母親節惹，本週要來為親情加溫一下，《壹週刊》特別邀請已經是兩個孩子的媽、卻依舊美到不行的宋紀妍，要來分享她的媽媽包啦！看看媽媽們平常出門總是大包小包，揹到全身筋骨痠痛都是為了孩兒啊～（甩水袖）是不是真的很辛苦！裡面裝得滿滿的不是尿布，是媽媽的愛啊～（淚）（←超浮誇）接下來趕快直擊宋紀妍的媽媽包，包裡不僅裝著母親的愛，還藏著大女兒晴晴的秘密喔！到底是什麼呢？就讓我們繼續看下去。（撰文，林思吟　攝影：余祐棠　剪輯：施辰儒）
apl2017050706181,http://www.appledaily.com.tw/realtimenews/article/sports/20170507/1113158/湖人克拉克森當了灰熊高富帥的「表弟」,湖人克拉克森當了灰熊高富帥的「表弟」,2017/05/07 06:18,美國八卦網站TMZ報導，湖人菲律賓裔後衛克拉克森(Jordan Clarkson)勾搭上前迪士尼女星索恩(Bella Thorne)，2人甜蜜出遊，剛好被TMZ狗仔逮個正著，看2人親密的互動，絕非朋友這麼簡單，只是如2人戀情屬實，克拉克森似乎當了灰熊「高富帥」帕森斯(Chandler Parsons)的「表弟」，因為索恩在今年初才和帕森斯去墨西哥玩，2人甚至還留下喇舌照。根據TMZ的報導，索恩和克拉克森約會那天，穿著1件半截式的白背心，不只激突，南半球還不安分地不斷跑出來見客，下半身也不簡單，只見索恩穿著1件短到不能再短的白熱褲，露出1雙修長美腿，火辣身材讓克拉克森看得眉開眼笑，索恩最後還上了克拉克森的藍寶堅尼跑車去了公園。（陳雍仁／綜合報導）
apl2017050706182,http://www.appledaily.com.tw/realtimenews/article/life/20170507/1113212/無色素、香料　超商首推「本土」鐵觀音霜淇淋,無色素、香料　超商首推「本土」鐵觀音霜淇淋,2017/05/07 06:18,炎炎夏日，冰品消費需求大增，全家便利商店再推出全新霜淇淋口味－鐵觀音，強調採用南投的鐵觀音茶葉，不含色素、香料，即日起開始販售，每支售價35元，並可加價搭配綜合堅果片及蜂蜜脆片等。超商霜淇淋口味為每年夏季的熱門話題，其中茶類相關口味特別受消費者青睞，全家曾於2015年推出英式奶茶霜淇淋、2016年推出抹茶霜淇淋，即使在冬天也創下兩周銷售30餘萬支佳績，今年則以台灣茶為基底，推出鐵觀音霜淇淋。全家表示，鐵觀音霜淇淋是首度採用南投的本土茶葉，不含色素、香料，茶葉採下後以文火烘焙，研磨成茶粉後，加入霜淇淋中，即日起起至6月4日，每支售價35元，2支分享價49元。全家指出，5月5日至5月11日期間，使用全家官方Line，輸入關鍵字獲取Pin碼，鐵觀音霜淇淋嚐鮮價單支25元，限量2萬支。5月10起可加價10元，搭配綜合堅果片，5月17日起則另外推出雀巢蜂蜜脆片配料，加購價5元。（蔡孟修／台北報導）
